Country,Code,Year,Illiteracy_rate,Literacy_rate,Population,Illiteracy_Population
Afghanistan,AFG,2011,69.0,31.0,29347708.0,20249918.52
Afghanistan,AFG,2015,66.246155,33.75384,33831767.0,22412244.806058854
Afghanistan,AFG,2021,63.0,37.0,40000410.0,25200258.3
Albania,ALB,2001,1.0,99.0,3147943.0,31479.43
Albania,ALB,2008,4.0,96.0,2992933.0,119717.32
Albania,ALB,2011,3.0,97.0,2911499.0,87344.97
Albania,ALB,2012,3.0,97.0,2910003.0,87300.09
Albania,ALB,2017,1.1837692,98.81623,2898245.0,34308.531650540004
Algeria,DZA,2002,30.0,70.0,31750832.0,9525249.6
Algeria,DZA,2006,27.0,73.0,33623505.0,9078346.350000001
Algeria,DZA,2008,25.0,75.0,34816963.0,8704240.75
Angola,AGO,2001,33.0,67.0,16747204.0,5526577.32
Angola,AGO,2014,34.0,66.0,27160767.0,9234660.780000001
Angola,AGO,2015,33.764137,66.23586,28157802.0,9507238.84346874
Antigua And Barbuda,ATG,2001,1.0,99.0,76082.0,760.82
Argentina,ARG,1991,4.0,96.0,33230293.0,1329211.72
Argentina,ARG,2001,3.0,97.0,37624817.0,1128744.51
Armenia,ARM,2001,1.0,99.0,3084350.0,30843.5
Armenia,ARM,2011,0.0,100.0,2923269.0,0.0
Armenia,ARM,2016,0.0,100.0,2918796.0,0.0
Armenia,ARM,2017,0.0,100.0,2914966.0,0.0
Armenia,ARM,2020,0.0,100.0,2890893.0,0.0
Armenia,ARM,2022,0.17500305,99.825,2880880.0,5041.62786684
Aruba,ABW,2000,3.0,97.0,88772.0,2663.16
Aruba,ABW,2010,3.0,97.0,100127.0,3003.81
Azerbaijan,AZE,1999,1.0,99.0,8100472.0,81004.72
Azerbaijan,AZE,2007,0.0,100.0,8828313.0,0.0
Azerbaijan,AZE,2009,0.0,100.0,9046336.0,0.0
Azerbaijan,AZE,2010,0.0,100.0,9146852.0,0.0
Azerbaijan,AZE,2011,0.0,100.0,9256156.0,0.0
Azerbaijan,AZE,2012,0.0,100.0,9376179.0,0.0
Azerbaijan,AZE,2013,0.0,100.0,9504417.0,0.0
Azerbaijan,AZE,2014,0.0,100.0,9631136.0,0.0
Azerbaijan,AZE,2015,0.0,100.0,9752859.0,0.0
Azerbaijan,AZE,2016,0.0,100.0,9868434.0,0.0
Azerbaijan,AZE,2017,0.0,100.0,9968510.0,0.0
Azerbaijan,AZE,2019,0.0,100.0,10110483.0,0.0
Azerbaijan,AZE,2023,0.0,100.0,10318209.0,0.0
Bahrain,BHR,1991,16.0,84.0,531883.0,85101.28
Bahrain,BHR,2001,13.0,87.0,699964.0,90995.32
Bahrain,BHR,2022,2.0,98.0,1533460.0,30669.2
Bahrain,BHR,2023,2.0,98.0,1569674.0,31393.48
Bangladesh,BGD,1991,65.0,35.0,113787112.0,73961622.8
Bangladesh,BGD,2001,53.0,47.0,136805810.0,72507079.3
Bangladesh,BGD,2011,41.0,59.0,153591074.0,62972340.339999996
Bangladesh,BGD,2012,42.0,58.0,155070110.0,65129446.199999996
Bangladesh,BGD,2013,39.0,61.0,156532134.0,61047532.260000005
Bangladesh,BGD,2014,39.0,61.0,157964931.0,61606323.09
Bangladesh,BGD,2015,35.0,65.0,159383179.0,55784112.65
Bangladesh,BGD,2016,27.0,73.0,160811934.0,43419222.18
Bangladesh,BGD,2017,27.0,73.0,162186146.0,43790259.42
Bangladesh,BGD,2018,26.0,74.0,163523109.0,42516008.34
Bangladesh,BGD,2019,25.0,75.0,164913060.0,41228265.0
Bangladesh,BGD,2020,25.0,75.0,166298024.0,41574506.0
Bangladesh,BGD,2021,24.0,76.0,167658855.0,40238125.199999996
Bangladesh,BGD,2022,21.0,79.0,169384891.0,35570827.11
Belarus,BLR,1999,0.0,100.0,10039221.0,0.0
Belarus,BLR,2009,0.0,100.0,9507334.0,0.0
Belarus,BLR,2019,0.0,100.0,9435415.0,0.0
Belize,BLZ,1991,30.0,70.0,187056.0,56116.799999999996
Belize,BLZ,2015,9.0839615,90.91604,356341.0,32369.879248714995
Benin,BEN,1992,73.0,27.0,5617847.0,4101028.31
Benin,BEN,2002,65.0,35.0,7675430.0,4989029.5
Benin,BEN,2017,61.12879,38.87121,12039777.0,7359769.9987983
Benin,BEN,2019,51.00172,48.99828,12726760.0,6490866.500271999
Benin,BEN,2021,56.16583,43.83417,13413423.0,7533760.359360899
Benin,BEN,2022,48.62123,51.37877,13759507.0,6690041.5453361
Bhutan,BTN,2005,47.0,53.0,661875.0,311081.25
Bhutan,BTN,2012,45.0,55.0,717288.0,322779.60000000003
Bhutan,BTN,2017,33.0,67.0,754343.0,248933.19
Bolivia,BOL,1992,20.0,80.0,7430337.0,1486067.4000000001
Bolivia,BOL,2001,13.0,87.0,8752740.0,1137856.2
Bolivia,BOL,2007,9.0,91.0,9685960.0,871736.4
Bolivia,BOL,2008,9.0,91.0,9850859.0,886577.3099999999
Bolivia,BOL,2009,9.0,91.0,10016279.0,901465.11
Bolivia,BOL,2011,8.0,92.0,10348931.0,827914.48
Bolivia,BOL,2012,6.0,94.0,10515814.0,630948.84
Bolivia,BOL,2015,8.0,92.0,11014707.0,881176.56
Bolivia,BOL,2020,6.0,94.0,11816301.0,708978.0599999999
Bosnia And Herzegovina,BIH,1991,11.0,89.0,4458350.0,490418.5
Bosnia And Herzegovina,BIH,2000,3.0,97.0,4159785.0,124793.54999999999
Bosnia And Herzegovina,BIH,2013,3.0,97.0,3610857.0,108325.70999999999
Botswana,BWA,1991,31.0,69.0,1341767.0,415947.77
Botswana,BWA,2003,19.0,81.0,1775744.0,337391.36
Brazil,BRA,2000,14.0,86.0,174018278.0,24362558.92
Brazil,BRA,2004,11.0,89.0,182675144.0,20094265.84
Brazil,BRA,2006,10.0,90.0,186653099.0,18665309.900000002
Brazil,BRA,2007,10.0,90.0,188552311.0,18855231.1
Brazil,BRA,2008,10.0,90.0,190367297.0,19036729.7
Brazil,BRA,2009,10.0,90.0,192079958.0,19207995.8
Brazil,BRA,2010,10.0,90.0,193701931.0,19370193.1
Brazil,BRA,2011,9.0,91.0,195284736.0,17575626.24
Brazil,BRA,2012,9.0,91.0,196876113.0,17718850.169999998
Brazil,BRA,2013,9.0,91.0,198478290.0,17863046.099999998
Brazil,BRA,2014,8.0,92.0,200085126.0,16006810.08
Brazil,BRA,2015,8.0,92.0,201675534.0,16134042.72
Brazil,BRA,2016,7.0,93.0,203218108.0,14225267.56
Brazil,BRA,2017,7.0,93.0,204703440.0,14329240.8
Brazil,BRA,2018,7.0,93.0,206107265.0,14427508.55
Brunei,BRN,1991,12.0,88.0,262604.0,31512.48
Brunei,BRN,2001,7.0,93.0,333353.0,23334.710000000003
Brunei,BRN,2011,4.0,96.0,399395.0,15975.800000000001
Bulgaria,BGR,2001,2.0,98.0,7928455.0,158569.1
Bulgaria,BGR,2011,2.0,98.0,7380023.0,147600.46
Burkina Faso,BFA,1991,86.0,14.0,9394631.0,8079382.66
Burkina Faso,BFA,1996,87.0,13.0,10655943.0,9270670.41
Burkina Faso,BFA,2003,78.0,22.0,13082530.0,10204373.4
Burkina Faso,BFA,2005,76.0,24.0,13932127.0,10588416.52
Burkina Faso,BFA,2006,78.0,22.0,14373713.0,11211496.14
Burkina Faso,BFA,2007,72.0,28.0,14816313.0,10667745.36
Burkina Faso,BFA,2014,65.0,35.0,18229466.0,11849152.9
Burkina Faso,BFA,2018,61.0,39.0,20438289.0,12467356.29
Burkina Faso,BFA,2019,70.0,30.0,20961956.0,14673369.2
Burkina Faso,BFA,2021,63.03262,36.96738,21995249.0,13864181.720223801
Burkina Faso,BFA,2022,59.07639,40.92361,22509038.0,13297527.0741282
Burundi,BDI,1990,63.0,37.0,5587051.0,3519842.13
Burundi,BDI,2000,41.0,59.0,6470196.0,2652780.36
Burundi,BDI,2008,52.0,48.0,8505643.0,4422934.36
Burundi,BDI,2014,38.0,62.0,10799789.0,4103919.82
Burundi,BDI,2016,34.312263,65.68774,11239459.0,3856512.7318571704
Burundi,BDI,2017,32.0,68.0,11506764.0,3682164.48
Cambodia,KHM,1998,33.0,67.0,12058180.0,3979199.4000000004
Cambodia,KHM,2004,26.0,74.0,13244737.0,3443631.62
Cambodia,KHM,2008,23.0,77.0,14053479.0,3232300.17
Cambodia,KHM,2009,24.0,76.0,14276819.0,3426436.56
Cambodia,KHM,2014,22.0,78.0,15396771.0,3387289.62
Cambodia,KHM,2015,19.0,81.0,15623253.0,2968418.07
Cambodia,KHM,2021,28.072746,71.92725,16974309.0,4765154.65082514
Cameroon,CMR,2000,32.0,68.0,14912632.0,4772042.24
Cameroon,CMR,2007,29.0,71.0,18049897.0,5234470.13
Cameroon,CMR,2010,29.0,71.0,19668063.0,5703738.27
Cameroon,CMR,2018,27.452873,72.54713,24806377.0,6810063.17371121
Cape Verde,CPV,1990,37.0,63.0,375437.0,138911.69
Cape Verde,CPV,2012,15.0,85.0,511966.0,76794.9
Cape Verde,CPV,2015,13.0,87.0,512405.0,66612.65000000001
Cayman Islands,CYM,2007,1.0,99.0,49709.0,497.09000000000003
Central African Republic,CAF,2000,49.0,51.0,3833421.0,1878376.29
Central African Republic,CAF,2019,57.55721,42.44279,4944708.0,2846035.9674468003
Central And Southern Asia (Sdg),OWID_WRL,1990,51.67884,48.32116,12687083.0,6556537.3242372
Central And Southern Asia (Sdg),OWID_WRL,1991,50.94008,49.05992,12687083.0,6462810.229866399
Central And Southern Asia (Sdg),OWID_WRL,1992,49.97537,50.02463,12687083.0,6340416.6714571
Central And Southern Asia (Sdg),OWID_WRL,1993,49.03544,50.96456,12687083.0,6221166.9722152
Central And Southern Asia (Sdg),OWID_WRL,1994,48.34252,51.65748,12687083.0,6133255.6366916
Central And Southern Asia (Sdg),OWID_WRL,1995,47.51132,52.48868,12687083.0,6027800.602795599
Central And Southern Asia (Sdg),OWID_WRL,1996,46.72254,53.27746,12687083.0,5927727.4295082
Central And Southern Asia (Sdg),OWID_WRL,1997,45.93668,54.06332,12687083.0,5828024.7190444
Central And Southern Asia (Sdg),OWID_WRL,1998,41.46195,58.53805,12687083.0,5260312.009918501
Central And Southern Asia (Sdg),OWID_WRL,1999,40.68157,59.31843,12687083.0,5161304.5516031
Central And Southern Asia (Sdg),OWID_WRL,2000,39.91697,60.08303,12687083.0,5064299.1149851
Central And Southern Asia (Sdg),OWID_WRL,2001,39.15662,60.84338,12687083.0,4967832.879394599
Central And Southern Asia (Sdg),OWID_WRL,2002,38.37295,61.62705,12687083.0,4868408.0160485
Central And Southern Asia (Sdg),OWID_WRL,2003,37.48693,62.51307,12687083.0,4755997.9232519
Central And Southern Asia (Sdg),OWID_WRL,2004,36.71899,63.28101,12687083.0,4658568.738061699
Central And Southern Asia (Sdg),OWID_WRL,2005,36.85484,63.14516,12687083.0,4675804.140317201
Central And Southern Asia (Sdg),OWID_WRL,2006,36.71201,63.28799,12687083.0,4657683.1796683
Central And Southern Asia (Sdg),OWID_WRL,2007,35.90345,64.09655,12687083.0,4555100.5013635
Central And Southern Asia (Sdg),OWID_WRL,2008,34.842873,65.15713,12687083.0,4420544.21709459
Central And Southern Asia (Sdg),OWID_WRL,2009,34.017853,65.98215,12687083.0,4315873.24492799
Central And Southern Asia (Sdg),OWID_WRL,2010,31.647186,68.35281,12687083.0,4015104.7549843797
Central And Southern Asia (Sdg),OWID_WRL,2011,31.269592,68.73041,12687083.0,3967199.09080136
Central And Southern Asia (Sdg),OWID_WRL,2012,31.218872,68.78113,12687083.0,3960764.20230376
Central And Southern Asia (Sdg),OWID_WRL,2013,30.27993,69.72007,12687083.0,3841639.8514419
Central And Southern Asia (Sdg),OWID_WRL,2014,29.598183,70.40182,12687083.0,3755146.04370189
Central And Southern Asia (Sdg),OWID_WRL,2015,28.368553,71.63145,12687083.0,3599141.8650089893
